image_path,source,species,view,stage,day,resolution,original_width,original_height,processed_width,processed_height,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,notes
plant_dataset/final_core_1056/young/wgsr_rice_0001.jpg,WGSR,rice,side/front-controlled,young,,640x640,2056,2452,640,640,,,,,R0028-S1-20CY01T01_2020-06-20_side0.png
plant_dataset/final_core_1056/young/wgsr_rice_0002.jpg,WGSR,rice,side/front-controlled,young,,640x640,2056,2452,640,640,,,,,R0035-S1-20CY01T05_2020-06-20_side0.png
plant_dataset/final_core_1056/young/wgsr_rice_0003.jpg,WGSR,rice,side/front-controlled,young,,640x640,2056,2452,640,640,,,,,R0042-S1-20CY01T03_2020-06-20_side0.png
plant_dataset/final_core_1056/young/wgsr_rice_0004.jpg,WGSR,rice,side/front-controlled,young,,640x640,2056,2452,640,640,,,,,R0049-S1-20CY01T01_2020-06-20_side0.png
plant_dataset/final_core_1056/young/wgsr_rice_0005.jpg,WGSR,rice,side/front-controlled,young,,640x640,2056,2452,640,640,,,,,R0053-S1-20CY01T05_2020-06-20_side0.png
plant_dataset/final_core_1056/young/wgsr_rice_0006.jpg,WGSR,rice,side/front-controlled,young,,640x640,2056,2452,640,640,,,,,R0061-S1-20CY01T03_2020-06-20_side0.png
plant_dataset/final_core_1056/young/wgsr_rice_0007.jpg,WGSR,rice,side/front-controlled,young,,640x640,2056,2452,640,640,,,,,R0069-S1-20CY01T02_2020-06-20_side0.png
plant_dataset/final_core_1056/young/wgsr_rice_0008.jpg,WGSR,rice,side/front-controlled,young,,640x640,2056,2452,640,640,,,,,R0083-S1-20CY01T02_2020-06-20_side0.png
plant_dataset/final_core_1056/young/wgsr_rice_0009.jpg,WGSR,rice,side/front-controlled,young,,640x640,2056,2452,640,640,,,,,R0094-S1-20CY01T03_2020-06-20_side0.png
plant_dataset/final_core_1056/young/wgsr_rice_0010.jpg,WGSR,rice,side/front-controlled,young,,640x640,2056,2452,640,640,,,,,R0133-S1-20CY01T04_2020-06-20_side0.png
plant_dataset/final_core_1056/young/wgsr_rice_0011.jpg,WGSR,rice,side/front-controlled,young,,640x640,2056,2452,640,640,,,,,R0175-S1-20CY01T04_2020-06-20_side0.png
plant_dataset/final_core_1056/young/wgsr_rice_0012.jpg,WGSR,rice,side/front-controlled,young,,640x640,2056,2452,640,640,,,,,R0233-S1-20CY01T02_2020-06-20_side0.png
plant_dataset/final_core_1056/young/wgsr_rice_0013.jpg,WGSR,rice,side/front-controlled,young,,640x640,2056,2452,640,640,,,,,R0242-S1-20CY01T03_2020-06-20_side0.png
plant_dataset/final_core_1056/young/wgsr_rice_0014.jpg,WGSR,rice,side/front-controlled,young,,640x640,2056,2452,640,640,,,,,R0248-S1-20CY01T02_2020-06-20_side0.png
